RK,Player,Pos,Team,Bye,ADP,Tier,P50,P75,P90,150+,200+,250+,300+,350+,DT,OU_PassYds,OU_PassTDs,OU_RushYds,OU_RushTDs,OU_RecYds,OU_RecTDs,Odds_MostPassYds,Odds_MostPassTDs,Odds_MostRushYds,Odds_MostRushTDs,Odds_MostRecYds,Odds_MostRecTDs,PassYds,PassTDs,RushYds,RushTDs,RecYds,Rec,RecTDs,#1,Top3,Top5,Top12
183,C.J. Stroud,QB,HOU,8,210,Good,262,296,330,97.0,93.6,61.2,22.5,5.1,1.134,3650.5,22.5,,,,,+2500,+3500,,,,,3651,22.5,198,1,,,,0.7,3.3,7.2,28.4
184,Pat Bryant,WR,DEN,10,211,Speculative,107,120,133,1.4,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,476,39,3.4,0.0,0.0,0.0,0.0
185,Calvin Ridley,WR,TEN,9,212,Speculative,123,139,156,13.3,0.3,0.0,0.0,0.0,1.019,,,,,600.5,3.5,,,,,+25000,+25000,,,16,0.1,601,40,3.5,0.0,0.0,0.0,0.1
186,Rashod Bateman,WR,BAL,13,213,Speculative,110,124,138,2.9,0.0,0.0,0.0,0.0,1.005,,,,,,,,,,,,,,,4,0,528,36,3.6,0.0,0.0,0.0,0.0
187,Chris Bell,WR,MIA,6,213,Speculative,111,126,139,3.8,0.1,0.0,0.0,0.0,1,,,,,,,,,,,+25000,+25000,,,,,506,40,3.4,0.0,0.0,0.0,0.0
188,Dontayvion Wicks,WR,PHI,10,214,Speculative,108,122,136,2.3,0.0,0.0,0.0,0.0,1.002,,,,,,,,,,,,,,,2,0,483,39,3.4,0.0,0.0,0.0,0.0
189,Darnell Mooney,WR,NYG,8,214,Speculative,104,116,129,0.7,0.0,0.0,0.0,0.0,1.015,,,,,,,,,,,+30000,+25000,,,12,0.1,471,34,3.5,0.0,0.0,0.0,0.0
190,Chris Brazzell,WR,CAR,5,214,Speculative,92,104,116,0.1,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,405,32,3.2,0.0,0.0,0.0,0.0
191,Ja'Kobi Lane,WR,BAL,13,215,Speculative,97,108,121,0.1,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,420,34,3.4,0.0,0.0,0.0,0.0
192,Tua Tagovailoa,QB,ATL,11,216,Speculative,145,163,181,42.3,3.3,0.1,0.0,0.0,1.084,,,,,,,+10000,+10000,,,,,2258,10.9,87,0.4,,,,0.0,0.0,0.0,0.0
193,Zachariah Branch,WR,ATL,11,216,Speculative,100,113,127,0.6,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,437,35,3.8,0.0,0.0,0.0,0.0
194,Germie Bernard,WR,PIT,9,216,Speculative,93,104,116,0.0,0.0,0.0,0.0,0.0,1,,,,,400.5,,,,,,+40000,+25000,,,,,401,32,3.4,0.0,0.0,0.0,0.0
195,Jack Bech,WR,LV,13,217,Speculative,84,94,105,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,+40000,+40000,,,,,373,33,2.2,0.0,0.0,0.0,0.0
196,Ted Hurst,WR,TB,10,219,Speculative,78,88,97,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,351,28,2.4,0.0,0.0,0.0,0.0
197,Jaylin Noel,WR,HOU,8,220,Speculative,84,95,106,0.0,0.0,0.0,0.0,0.0,1.018,,,,,,,,,,,,,,,11,0.1,351,31,2.8,0.0,0.0,0.0,0.0
198,Christian Kirk,WR,SF,8,220,Speculative,83,93,104,0.0,0.0,0.0,0.0,0.0,1.015,,,,,,,,,,,+40000,+25000,,,9,0,351,27,3.2,0.0,0.0,0.0,0.0
199,Mack Hollins,WR,NE,11,221,Speculative,100,112,124,0.3,0.0,0.0,0.0,0.0,1.012,,,,,,,,,,,,,,,9,0,386,31,4.7,0.0,0.0,0.0,0.0
200,Malachi Fields,WR,NYG,8,221,Speculative,93,105,116,0.1,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,376,30,4.2,0.0,0.0,0.0,0.0
201,Keenan Allen,WR,FA,,221,Speculative,89,101,112,0.0,0.0,0.0,0.0,0.0,1.008,,,,,,,,,,,,,,,5,0,351,32,3.5,0.0,0.0,0.0,0.0
202,Isaiah Bond,WR,CLE,11,222,Speculative,91,102,115,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,351,28,4.6,0.0,0.0,0.0,0.0
203,Tyreek Hill,WR,FA,,225,Speculative,100,113,125,0.5,0.0,0.0,0.0,0.0,1.058,,,,,,,,,,,,,,,43,0.2,367,26,5.2,0.0,0.0,0.0,0.0
204,Jacoby Brissett,QB,ARI,14,230,Speculative,191,214,238,83.5,38.8,6.3,0.4,0.1,1.231,,,,,,,+5000,+8000,,,,,2623,12.5,275,1.4,,,,0.0,0.0,0.1,0.9
205,Fernando Mendoza,QB,LV,13,230,Speculative,146,164,184,43.6,3.6,0.1,0.0,0.0,1,2400.5,12.5,,,,,+15000,+10000,,,,,2401,12.5,,,,,,0.0,0.0,0.0,0.0
206,Geno Smith,QB,NYJ,13,239,Speculative,163,185,206,63.1,13.3,0.7,0.0,0.0,1.133,,,,,,,+8000,+8000,,,,,2376,12.5,148,0.7,,,,0.0,0.0,0.0,0.0
