RK,Player,Pos,Team,Bye,ADP,Tier,P50,P75,P90,150+,200+,250+,300+,350+,DT,OU_PassYds,OU_PassTDs,OU_RushYds,OU_RushTDs,OU_RecYds,OU_RecTDs,Odds_MostPassYds,Odds_MostPassTDs,Odds_MostRushYds,Odds_MostRushTDs,Odds_MostRecYds,Odds_MostRecTDs,PassYds,PassTDs,RushYds,RushTDs,RecYds,Rec,RecTDs,#1,Top3,Top5,Top12
92,Jayden Daniels,QB,WAS,7,92,Strong,301,339,377,99.1,99.1,85.7,51.1,19.7,1.557,3350.5,21.5,550.5,4.5,,,+4000,+3000,+25000,+15000,,,3351,21.5,551,4.5,,,,4.4,13.9,25.0,58.9
93,Dalton Kincaid,TE,BUF,7,92,Good,149,173,198,47.7,9.4,1.1,0.1,0.0,1,,,,,535.5,3.5,,,,,+25000,+10000,,,,,536,50,3.5,0.2,1.7,5.2,30.5
94,Blake Corum,RB,LAR,11,93,Speculative,105,126,145,7.3,0.5,0.0,0.0,0.0,1.105,,,625.5,5.5,,,,,+10000,+8000,,,,,626,5.5,41,5,0.2,0.0,0.0,0.0,0.1
95,J.K. Dobbins,RB,DEN,10,95,Speculative,130,154,180,29.1,4.6,0.7,0.0,0.0,1.246,,,675.5,5.5,,,,,+8000,+10000,,,,,676,5.5,89,18,0.4,0.0,0.0,0.1,1.3
96,Josh Downs,WR,IND,13,96,Average,184,208,231,78.5,32.4,4.2,0.2,0.0,1.002,,,,,800.5,,,,,,+10000,+12500,,,3,0,801,74,5.1,0.0,0.3,1.3,10.6
97,Dallas Goedert,TE,PHI,10,96,Strong,163,190,217,59.1,17.9,2.6,0.3,0.0,1,,,,,575.5,4.5,,,,,+25000,+7500,,,,,576,52,4.5,0.4,4.5,10.5,45.7
98,Mark Andrews,TE,BAL,13,96,Good,150,174,201,48.9,10.4,0.8,0.1,0.0,1,,,,,500.5,5.5,,,,,+30000,+7500,,,,,501,45,5.5,0.2,1.5,5.5,31.2
99,Ricky Pearsall,WR,SF,8,97,Speculative,148,167,185,45.6,4.0,0.1,0.0,0.0,1.025,,,,,675.5,,,,,,+15000,+15000,,,28,0.1,676,49,4.7,0.0,0.0,0.0,0.7
100,Kyle Monangai,RB,CHI,10,98,Speculative,120,144,167,20.0,2.4,0.1,0.0,0.0,1.318,,,650.5,4.5,,,,,+10000,+8000,,,,,651,4.5,117,15,0.5,0.0,0.0,0.0,0.3
101,Wan'Dale Robinson,WR,TEN,9,101,Speculative,176,197,220,74.9,22.9,2.3,0.1,0.0,1.035,,,,,700.5,,,,,,+10000,+20000,,,43,0.2,701,76,3.9,0.0,0.2,0.7,6.9
102,Jake Ferguson,TE,DAL,14,101,Good,155,180,209,52.9,13.2,1.8,0.2,0.0,1,,,,,475.5,4.5,,,,,+30000,+7500,,,,,476,54,4.5,0.2,2.7,8.5,36.3
103,Michael Wilson,WR,ARI,14,102,Speculative,161,180,203,62.8,11.7,0.4,0.1,0.0,1.002,,,,,725.5,,,,,,+10000,+10000,,,2,0,726,56,5.3,0.0,0.0,0.1,2.3
104,Caleb Williams,QB,CHI,10,104,Strong,295,330,368,98.5,98.5,81.8,46.4,15.6,1.227,3625.5,24.5,,,,,+1800,+1800,+25000,+20000,,,3626,24.5,378,1.9,,,,3.0,11.1,20.1,53.8
